defined_class	defined_class_label	entity	entity_label
MP:0008180	"abnormal marginal zone B cell morphology"	CL:0000845	"marginal zone B cell"
MP:0004235	"abnormal masseter muscle morphology"	UBERON:0001597	"masseter muscle"
MP:0000359	"abnormal mast cell morphology"	CL:0000097	"mast cell"
MP:0004234	"abnormal masticatory muscle morphology"	UBERON:0003681	"masticatory muscle"
MP:0004256	"abnormal maternal decidual layer morphology"	UBERON:0002450	"decidua"
MP:0008171	"abnormal mature B cell morphology"	CL:0000785	"mature B cell"
MP:0013700	"abnormal mature NK cell morphology"	CL:0000824	"mature natural killer cell"
MP:0008344	"abnormal mature gamma-delta T cell morphology"	CL:0000800	"mature gamma-delta T cell"
MP:0009364	"abnormal mature ovarian follicle morphology"	UBERON:0003982	"mature ovarian follicle"
MP:0000455	"abnormal maxilla morphology"	UBERON:0002397	"maxilla"
MP:0030301	"abnormal maxillary frontal process morphology"	UBERON:0013767	"frontal process of maxilla"
MP:0009799	"abnormal maxillary nerve morphology"	UBERON:0000377	"maxillary nerve"
MP:0010940	"abnormal maxillary prominence morphology"	UBERON:0005868	"maxillary prominence"
MP:0002247	"abnormal maxillary sinus morphology"	UBERON:0001764	"maxillary sinus"
MP:0000972	"abnormal mechanoreceptor morphology"	UBERON:0012449	"mechanoreceptor"
MP:0004276	"abnormal medial ganglionic eminence morphology"	UBERON:0004024	"medial ganglionic eminence"
MP:0008930	"abnormal medial geniculate nucleus morphology"	UBERON:0001927	"medial geniculate body"
MP:0009903	"abnormal medial nasal prominence morphology"	UBERON:0004068	"medial nasal prominence"
MP:0009802	"abnormal median aperture morphology"	UBERON:0003991	"fourth ventricle median aperture"
MP:0008462	"abnormal medium spiny neuron morphology"	CL:1001474	"medium spiny neuron"
MP:0009680	"abnormal medulla oblongata anterior median fissure morphology"	UBERON:0003989	"medulla oblongata anterior median fissure"
MP:0002417	"abnormal megakaryocyte morphology"	CL:0000556	"megakaryocyte"
MP:0002413	"abnormal megakaryocyte progenitor cell morphology"	CL:0000553	"megakaryocyte progenitor cell"
MP:0013702	"abnormal megakaryocyte-erythroid progenitor cell morphology"	CL:0000050	"megakaryocyte-erythroid progenitor cell"
MP:0009783	"abnormal melanoblast morphology"	CL:0000541	"melanoblast"
MP:0002877	"abnormal melanocyte morphology"	CL:0000148	"melanocyte"
MP:0020334	"abnormal melanophage morphology"	CL:0002060	"melanophage"
MP:0005075	"abnormal melanosome morphology"	GO:0042470	"melanosome"
MP:0008324	"abnormal melanotroph morphology"	CL:0000440	"melanocyte stimulating hormone secreting cell"
MP:0002440	"abnormal memory B cell morphology"	CL:0000787	"memory B cell"
MP:0010833	"abnormal memory T cell morphology"	CL:0000813	"memory T cell"
MP:0030236	"abnormal mental foramen morphology"	UBERON:0006812	"mental foramen"
MP:0013544	"abnormal merocrine gland morphology"	UBERON:0010243	"merocrine gland"
MP:0006301	"abnormal mesenchyme morphology"	UBERON:0003104	"mesenchyme"
MP:0005232	"abnormal mesenteric lymph node morphology"	UBERON:0002509	"mesenteric lymph node"
MP:0010547	"abnormal mesocardium morphology"	UBERON:0010277	"mesocardium"
MP:0014141	"abnormal mesoderm morphology"	UBERON:0000926	"mesoderm"
