defined_class	defined_class_label	entity	entity_label
MP:0030315	"small neurocranium"	UBERON:0001703	"neurocranium"
MP:0001088	"small nodose ganglion"	UBERON:0005363	"inferior vagus X ganglion"
MP:0004710	"small notochord"	UBERON:0002328	"notochord"
MP:0004441	"small occipital bone"	UBERON:0001676	"occipital bone"
MP:0002741	"small olfactory bulb"	UBERON:0002264	"olfactory bulb"
MP:0006217	"small optic disk"	UBERON:0001783	"optic disc"
MP:0020342	"small optic nerve"	UBERON:0000941	"cranial nerve II"
MP:0030242	"small optic pit"	UBERON:0006270	"optic pit"
MP:0006211	"small orbits"	UBERON:0001697	"orbit of skull"
MP:0006288	"small otic capsule"	UBERON:0005411	"bony otic capsule"
MP:0004310	"small otic vesicle"	UBERON:0003051	"ear vesicle"
MP:0001127	"small ovary"	UBERON:0000992	"ovary"
MP:0009070	"small oviduct"	UBERON:0003889	"fallopian tube"
MP:0004247	"small pancreas"	UBERON:0001264	"pancreas"
MP:0009172	"small pancreatic islets"	UBERON:0000006	"islet of Langerhans"
MP:0003113	"small parathyroid gland"	UBERON:0001132	"parathyroid gland"
MP:0004418	"small parietal bone"	UBERON:0000210	"tetrapod parietal bone"
MP:0009104	"small penile bone"	UBERON:0006435	"os penis"
MP:0005188	"small penis"	UBERON:0000989	"penis"
MP:0013382	"small perianal sebaceous gland"	UBERON:0012281	"perianal sebaceous gland"
MP:0001085	"small petrosal ganglion"	UBERON:0005360	"inferior glossopharyngeal IX ganglion"
MP:0006346	"small pharyngeal arch"	UBERON:0002539	"pharyngeal arch"
MP:0004554	"small pharynx"	UBERON:0001042	"chordate pharynx"
MP:0005361	"small pituitary gland"	UBERON:0000007	"pituitary gland"
MP:0008368	"small pituitary intermediate lobe"	UBERON:0002432	"pars intermedia of adenohypophysis"
MP:0004259	"small placenta"	UBERON:0001987	"placenta"
MP:0009636	"small popliteal lymph nodes"	UBERON:0001543	"popliteal lymph node"
MP:0004870	"small premaxilla"	UBERON:0002244	"premaxilla"
MP:0030383	"small presphenoid bone"	UBERON:0008828	"presphenoid bone"
MP:0013923	"small prevertebral sympathetic ganglia"	UBERON:0003964	"prevertebral ganglion"
MP:0011208	"small proamniotic cavity"	UBERON:0009742	"proamniotic cavity"
MP:0002774	"small prostate gland"	UBERON:0002367	"prostate gland"
MP:0000664	"small prostate gland anterior lobe"	UBERON:0008807	"coagulating gland"
MP:0009740	"small prostate gland dorsolateral lobe"	UBERON:0008808	"prostate gland dorsolateral lobe"
MP:0000661	"small prostate gland ventral lobe"	UBERON:0007615	"prostate gland ventral lobe"
MP:0004456	"small pterygoid bone"	UBERON:0010389	"pterygoid bone"
MP:0004692	"small pubis"	UBERON:0001275	"pubis"
MP:0001320	"small pupils"	UBERON:0001771	"pupil"
MP:0030411	"small round window"	UBERON:0002502	"round window of inner ear"
MP:0004657	"small sacral vertebrae"	UBERON:0001094	"sacral vertebra"
MP:0000618	"small salivary gland"	UBERON:0001044	"saliva-secreting gland"
MP:0008308	"small scala media"	UBERON:0002295	"scala media"
MP:0004862	"small scala tympani"	UBERON:0001864	"scala tympani"
MP:0004343	"small scapula"	UBERON:0006849	"scapula"
MP:0003609	"small scrotum"	UBERON:0001300	"scrotum"
MP:0012725	"small sebaceous gland"	UBERON:0001821	"sebaceous gland"
MP:0006344	"small second pharyngeal arch"	UBERON:0003066	"pharyngeal arch 2"
MP:0001157	"small seminal vesicle"	UBERON:0000998	"seminal vesicle"
MP:0001153	"small seminiferous tubules"	UBERON:0001343	"seminiferous tubule of testis"
